"","Control_day_0_M1","Treatment_day_0_M1","Control_day_7_M1","Treatment_day_7_M1","Treatment_day_14_M1","Control_day_14_M1","Treatment_day_49_M1","Control_day_0_M2","Treatment_day_0_M2","Control_day_7_M2","Treatment_day_7_M2","Treatment_day_14_M2","Control_day_14_M2","Treatment_day_49_M2","Control_day_49_M2","Treatment_day_7_M3","Treatment_day_0_M3","Control_day_0_M3","Control_day_14_M3","Treatment_day_14_M3","Control_day_49_M3","Treatment_day_49_M3","Treatment_day_0_M5","Treatment_day_7_M5","Treatment_day_14_M5","Control_day_0_M5","Control_day_7_M5","Control_day_14_M5","Control_day_49_M5","Treatment_day_0_M6","Treatment_day_7_M6","Treatment_day_14_M6","Treatment_day_49_M6","Control_day_0_M6","Control_day_7_M6","Control_day_14_M6","Control_day_49_M6","Control_day_49_M8","Control_day_14_M8","Control_day_7_M8","Control_day_0_M8","Treatment_day_49_M8","Treatment_day_14_M8","Treatment_day_7_M8","Treatment_day_0_M8"
"Ahnak",14.52249316,12.30910131,12.68706756,12.27179034,12.93839539,12.7001436,12.18873809,11.96176401,11.77194837,12.14103693,12.79212668,12.30421861,12.15143607,12.31532703,12.94460099,12.48022815,11.99570716,13.0246926,12.2199215,12.31878038,12.37595807,11.94954858,12.67495724,12.08214719,12.69305577,12.60377177,11.83844368,12.30148396,11.65524722,12.18882156,11.74635303,12.36160853,12.0652171,12.57295266,12.34011028,12.62874596,11.92143221,12.41572918,12.68395172,12.58399934,11.96771191,13.04491712,12.67285534,12.40429995,12.00203705
"Vcl",5.817963836,4.704582649,5.514691094,4.531802171,4.865800601,5.775483541,5.415198064,4.602441932,4.784420764,5.231062162,4.088092199,4.585649611,4.967110316,5.221508518,4.767645308,4.645670597,4.738537536,5.091354371,5.597342393,4.461190996,6.053499895,4.52244015,5.221820793,4.302751678,4.539043901,4.638111979,4.569666131,4.666012634,5.26895727,5.136436625,3.711719581,4.71202368,6.034568608,4.458220072,4.399656498,5.36559152,5.076719041,5.244837353,4.163945862,4.796610756,5.188096674,5.153194103,4.86633202,4.85271305,4.232392923
"Tln1",15.43948131,13.82423091,14.47727005,14.56656383,14.63825634,14.12372018,13.79479462,14.03251368,13.83465714,14.95567587,14.68285148,13.52425516,14.38672507,13.86532138,14.41906203,14.80791085,14.35013114,14.05803722,14.12273699,14.42618261,14.28827115,14.41488165,14.10326386,14.04990098,13.70133464,14.00288224,14.08484616,13.54492677,13.21143293,14.05558132,14.91907331,13.74642991,14.07279601,14.27848016,14.18542863,14.7790835,14.73083271,12.85349351,13.86492864,14.08397963,13.87471385,14.24347009,14.08439998,14.38867472,13.39563982
"Bzw1",9.880312224,9.804803054,10.25712641,8.481290647,9.559631501,9.555868392,9.761114055,9.757245796,9.719872584,9.74087796,9.349142942,9.685637733,9.368161318,10.06969851,9.363097629,9.651830008,9.741372061,9.131883449,10.50845314,9.734149747,10.22320661,8.12135483,9.441711875,9.011736631,9.45578844,9.641176556,9.568879086,9.59095273,9.552642749,8.998348142,9.567895678,9.595022728,10.0806783,9.108048343,9.745560404,9.611820786,9.732306134,9.308481555,9.755249574,10.30798761,10.9122816,9.177293134,9.063493645,9.231208688,9.805890897
"Mmp19",7.689953107,8.274682312,6.425495197,9.059763067,7.971088738,5.062590582,7.19792442,6.413080309,9.021534698,6.709223115,6.883024924,6.839406269,5.957144172,6.737528562,5.832943175,8.663817858,8.323213302,6.932971864,7.004649359,7.770070715,6.285308517,7.396732486,8.024211217,8.092815524,9.178081743,7.143035369,7.425356223,6.524389283,7.002680183,7.370034404,6.884031945,6.452459701,7.184256792,8.456688219,7.336535309,7.517638496,7.862650768,4.639675529,7.333060152,7.008680326,6.89024031,7.812109505,8.87048255,8.450960878,7.31719429
"Lbp",8.450047503,8.839583146,8.03176854,7.14773466,7.522257417,6.609291245,8.38901317,9.930963619,10.4477406,7.809382533,8.966481296,9.236909454,7.836054522,9.274223102,8.725942434,10.15600487,9.618061794,9.786394825,8.307128885,8.715281164,8.781233167,8.855530253,10.03386533,7.908727698,8.763796283,9.886352673,9.482647962,9.332452081,9.536480018,9.988674457,10.60632928,8.635446915,7.403664941,10.15079326,10.79944643,9.360075196,7.45537122,10.46282421,9.153201444,8.239335318,9.188992556,9.110340725,9.263051161,8.567112078,9.710536876
"Enpp1",6.98935135,8.11444531,6.441010664,8.102904676,7.597979217,5.951078511,8.56816326,8.363585601,8.241061358,5.432037553,7.945481049,8.849924413,8.050945128,7.366783919,8.538813936,5.566262003,8.264639454,7.117529219,7.112159832,8.127960556,7.206817126,7.940192306,7.764846742,8.065680042,7.618709195,7.948184745,6.819169027,7.95839378,7.583306018,7.687120432,7.514977717,9.377902472,8.67869757,7.641542027,6.920722909,8.416912956,8.578635353,8.3148612,7.662758858,7.608243188,7.606417682,8.494619873,8.089531598,7.791066119,8.368319163
"Cltc",9.729528318,8.61317489,8.961845579,8.121413844,8.268138197,8.191741951,7.300466016,8.614979443,8.668080012,9.291459648,9.450861942,9.269577474,8.193007131,8.355823464,8.716224668,8.121855414,8.293824366,8.983872037,8.55278009,8.626943067,8.790508434,8.425244201,9.053297713,9.24954614,9.183433854,9.302555382,9.504267982,9.375492552,9.285270606,8.600467185,8.53553268,7.451052136,8.780185527,9.261839063,7.985575618,8.00075168,9.049630958,8.679223253,8.303960438,8.897459005,8.581095669,8.533803692,8.799918464,8.473143657,8.879725579
"Ambp",10.118105,10.90581463,11.03590048,9.91312612,10.87738183,11.72996638,10.06121147,11.18431745,11.57182808,10.23377056,10.06312398,11.23358942,10.68175593,11.56571748,10.67644228,10.58050655,10.53094925,10.53892366,11.19025075,11.00206988,11.27461246,11.10351863,11.26906322,11.76136904,11.24733842,11.5465678,11.64316183,11.48883599,11.47730618,10.68836345,11.26359274,9.835928619,11.69366009,10.53448419,10.91813656,9.641791559,11.5347316,10.97235533,11.06335059,11.29919418,11.66784879,10.60904538,10.50751508,10.81603771,10.90723738
"Apoc2",9.369017479,7.976243893,7.911632282,6.605173406,7.211677221,6.736967804,7.914461065,6.130215648,7.405667427,6.690295202,7.529089689,6.448448418,7.603861967,7.664847682,6.630155445,10.98985177,6.94370553,7.958788943,5.994945022,6.765230258,6.835797683,7.010380893,6.623921154,6.29781375,6.505811853,7.162330344,6.610473729,7.44106661,7.768787518,7.296059527,7.739329705,7.5027101,6.608842184,7.159272171,7.333718794,8.126670721,9.28117811,7.084959665,7.758861413,7.359073939,7.134498191,6.481426296,7.397575301,7.909004686,8.842745941
